Scopus Author Ids,Authors
 53879714200,"[' Dourado Júnior, M.', ' Dourado Júnior, M.']"
 54402559700,"[' Colicino, E.', ' Colicino, E.']"
 54890623600,"[' Coelho, L.C.', ' Coelho, L.C.', ' Coelho, L.C.', ' Coelho, L.C.']"
 54917800500,"[' Winter, J.', ' Winter, J.']"
 55028638700,"[' Leitão, G.', ' Leitão, G.', ' Leitão, G.', ' Leitão, G.', ' Leitão, G.']"
 55103744400,"[' Araújo, D.S.', ' Araújo, D.S.', ' Araújo, D.S.', ' Araújo, D.S.', ' Araújo, D.S.']"
 55104256700,"[' Lopes, J.S.B.', ' Lopes, J.S.B.', ' Lopes, J.S.B.']"
 55191031900,"[' Albuquerque, G.L.A.', ' Albuquerque, G.L.A.', ' Albuquerque, G.L.A.', ' Albuquerque, G.L.A.', ' Albuquerque, G.L.A.', ' Albuquerque, G.L.A.']"
 55203431500,"[' de Andrade, H.D.']"
 55203799900,"[' Saito, K.', ' Saito, K.', ' Saito, K.', ' Saito, K.', ' Saito, K.']"
 55204048400,"[' Almeida, E.P.L.', ' Almeida, E.P.L.']"
 55220583900,"[' Pick, M.-A.', ' Pick, M.-A.', ' Pick, M.-A.', ' Pick, M.-A.', ' Pick, M.-A.', ' Pick, M.-A.', ' Pick, M.-A.', ' Pick, M.-A.']"
 55312645300,"[' Dantas, M.R.', ' Dantas, M.R.', ' Dantas, M.R.', ' Dantas, M.R.']"
 55314704100,"[' Bezerra, C.G.', ' Bezerra, C.G.', ' Bezerra, C.G.']"
 55315861700,"[' Heck, G.', ' Heck, G.', ' Heck, G.', ' Heck, G.', ' Heck, G.', ' Heck, G.', ' Heck, G.', ' Heck, G.', ' Heck, G.', ' Heck, G.', ' Heck, G.', ' Heck, G.']"
 55336691400,"[' Angelo, G.', ' Angelo, G.', ' Angelo, G.', ' Angelo, G.']"
 55361069800,"[' Villarreal, E.R.L.', ' Villarreal, E.R.L.', ' Villarreal, E.R.L.']"
 55389283400,"[' Bianco, V.', ' Bianco, V.', ' Bianco, V.', ' Bianco, V.', ' Bianco, V.', ' Bianco, V.']"
 55415511600,"[' De Martins, M.A.', ' De Martins, M.A.', ' De Martins, M.A.', ' Martins, A.D.M.', ' Martins, A.D.M.', ' Martins, A.D.M.', ' Martins, A.D.M.', ' Martins, A.D.M.', ' Martins, A.D.M.', ' Martins, A.D.M.', ' Martins, A.D.M.', ' Martins, A.D.M.', ' Martins, A.', ' Martins, A.', ' Martins, A.', ' Martins, A.', ' Martins, A.', ' Martins, A.', ' Martins, A.', ' Martins, A.', ' Martins, A.', ' Martins, A.', ' Martins, A.', ' Martins, A.', ' Martins, A.', ' Martins, A.M.', ' Martins, A.M.', ' Martins, A.M.', ' Martins, A.M.', ' Martins, A.', ' Martins, A.', ' Martins, A.', ' Martins, A.', ' Martins, A.', ' Martins, A.']"
 55436299800,"[' Souza, A.A.S.', ' Souza, A.A.S.', ' Souza, A.A.S.', ' Souza, A.A.S.', ' Souza, A.A.S.', ' Souza, A.A.S.']"
 55437702900,"[' Burlamaqui, A.M.F.', ' Burlamaqui, A.M.F.', ' Burlamaqui, A.M.F.', ' Burlamaqui, A.M.F.', ' Burlamaqui, A.M.F.', ' Burlamaqui, A.M.F.', ' Burlamaqui, A.M.F.', ' Burlamaqui, A.M.F.', ' Burlamaqui, A.M.F.', ' Burlamaqui, A.M.F.', ' Medeiros Filgueira Burlamaqui, A.', ' Medeiros Filgueira Burlamaqui, A.']"
 55488895300,"[' Silva, P.H.F.', ' Silva, P.H.F.', ' Silva, P.H.F.', ' Silva, P.H.F.']"
 55493359300,"[' Barros, L.S.', ' Barros, L.S.']"
 55535552300,"[' Jena, S.D.', ' Jena, S.D.']"
 55538204200,"[' da Silva, B.M.F.', ' da Silva, B.M.F.', ' da Silva, B.M.F.', ' da Silva, B.M.F.', ' da Silva, B.M.F.', ' Da Silva, B.M.F.', ' Da Silva, B.M.F.', ' Da Silva, B.M.F.']"
 55540606300,"[' Solowjow, E.', ' Solowjow, E.', ' Solowjow, E.', ' Solowjow, E.', ' Solowjow, E.', ' Solowjow, E.', ' Solowjow, E.', ' Solowjow, E.']"
 55570200500,"[' De Oliveira Alves Rocha, T.', ' De Oliveira Alves Rocha, T.', ' Rocha, T.O.A.', ' Rocha, T.O.A.', ' Rocha, T.D.O.A.', ' Rocha, T.D.O.A.', ' Rocha, T.O.A.', ' Rocha, T.O.A.', ' Rocha, T.O.A.', ' Rocha, T.D.O.A.', ' Rocha, T.D.O.A.', ' Rocha, T.O.A.', ' Rocha, T.O.A.', ' Rocha, T.O.A.']"
 55608630500,"[' Martins De Sousa Neto, C.', ' Martins De Sousa Neto, C.']"
 55659743600,"[' Ezzati-Jivan, N.', ' Ezzati-Jivan, N.']"
 55664205300,"[' Melo, J.D.', ' Melo, J.D.']"
 55700698000,"[' Lopes, F.V.', ' Lopes, F.V.', ' Lopes, F.V.', ' Lopes, F.V.', ' Lopes, F.V.', ' Lopes, F.V.', ' Lopes, F.V.', ' Lopes, F.V.']"
 55762821500,"[' Abinader, F.M.']"
